,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
121,LINE,GAT,0.9,0.01,4,2,0.50.90.0142,0.9572446555819477,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.00877943266208339, 'num_negative_samples': 1, 'lmbda': 0.4033477310849631}"
122,LINE,GAT,0.9,0.01,4,5,0.50.90.0145,1.0,"{'hidden_layer': 128, 'out_layer': 64, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.009712705779931337, 'num_negative_samples': 16, 'lmbda': 0.05622495775132491}"
123,LINE,GAT,0.9,0.01,7,2,0.50.90.0172,0.7078891257995735,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.009673567766004407, 'num_negative_samples': 16, 'lmbda': 0.9049781539475896}"
124,LINE,GAT,0.9,0.2,2,5,0.50.90.225,0.8204255319148936,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.008731164136742072, 'num_negative_samples': 11, 'lmbda': 0.7015721316484308}"
125,LINE,GAT,0.9,0.2,2,20,0.50.90.2220,0.7305159165751921,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.005601372364445724, 'num_negative_samples': 6, 'lmbda': 0.10565015070576987}"
126,LINE,GAT,0.9,0.2,2,40,0.50.90.2240,0.6956099141422323,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.007888070923168476, 'num_negative_samples': 1, 'lmbda': 0.14065553528020408}"
127,LINE,GAT,0.9,0.2,3,2,0.50.90.232,0.638623326959847,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.008268176411951206, 'num_negative_samples': 1, 'lmbda': 0.0004666956281316262}"
128,LINE,GAT,0.9,0.2,3,5,0.50.90.235,0.678027556200145,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.00898317111366323, 'num_negative_samples': 21, 'lmbda': 0.996243252763797}"
129,LINE,GAT,0.9,0.2,3,20,0.50.90.2320,0.6684221613650727,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.006041265604346338, 'num_negative_samples': 21, 'lmbda': 0.554719897934757}"
130,LINE,GAT,0.9,0.2,4,2,0.50.90.242,0.6883365200764818,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008018288806495697, 'num_negative_samples': 11, 'lmbda': 0.951818777610422}"
131,LINE,GAT,0.9,0.2,4,5,0.50.90.245,0.5914826498422713,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.007618409542594126, 'num_negative_samples': 11, 'lmbda': 0.7566142627243785}"
132,LINE,GAT,0.9,0.5,2,5,0.50.90.525,0.6299924642049737,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.007432706026504009, 'num_negative_samples': 6, 'lmbda': 0.4954565170344052}"
133,LINE,GAT,0.9,0.5,2,20,0.50.90.5220,0.6156744536548606,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008169857047719551, 'num_negative_samples': 1, 'lmbda': 0.4479361250886508}"
134,LINE,GAT,0.9,0.5,2,40,0.50.90.5240,0.8854559155990958,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.008762005109741604, 'num_negative_samples': 11, 'lmbda': 0.31580179691214255}"
135,LINE,GAT,0.9,0.5,3,5,0.50.90.535,0.9284099472494348,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.30000000000000004, 'size of network, number of convs': 3, 'lr': 0.008544205240438377, 'num_negative_samples': 11, 'lmbda': 0.5165477472296737}"
136,LINE,GAT,0.9,0.5,3,20,0.50.90.5320,0.6993217784476262,"{'hidden_layer': 128, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.008067875889237281, 'num_negative_samples': 1, 'lmbda': 0.9726790782339237}"
137,LINE,GAT,0.9,0.5,4,5,0.50.90.545,0.960060286360211,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.005189397998898966, 'num_negative_samples': 6, 'lmbda': 0.6540517748311794}"
