,la,fa,cl,asp,ad,train acc micro,test acc micro,train acc macro,test acc macro
83,0.5,0.5,0.5,2.0,20.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
84,0.5,0.5,0.5,2.0,40.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
85,0.5,0.5,0.5,3.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
86,0.5,0.5,0.5,3.0,20.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
87,0.5,0.5,0.5,4.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
88,0.5,0.9,0.01,2.0,5.0,0.46219686162624823,0.3618090452261306,0.46268441136900396,0.35491748601372897
89,0.5,0.9,0.01,2.0,20.0,0.5121255349500713,0.21105527638190955,0.5095766093382308,0.21548403811759567
90,0.5,0.9,0.01,2.0,40.0,0.37945791726105566,0.31155778894472363,0.38044578353340036,0.306567248459795
91,0.5,0.9,0.01,3.0,2.0,0.355206847360913,0.2663316582914573,0.3550386357234264,0.2676146421429099
92,0.5,0.9,0.01,3.0,5.0,0.34807417974322397,0.2814070351758794,0.34793785037761005,0.2885979672670477
93,0.5,0.9,0.01,3.0,20.0,0.49358059914407987,0.24623115577889448,0.49392563339252266,0.24511641056236874
94,0.5,0.9,0.01,4.0,2.0,0.3980028530670471,0.27638190954773867,0.39744640791972213,0.2829994658437717
95,0.5,0.9,0.01,4.0,5.0,0.5035663338088445,0.21608040201005024,0.5021222621582571,0.21515694464064863
96,0.5,0.9,0.01,7.0,2.0,0.5834522111269614,0.47738693467336685,0.583078101293414,0.4713997141169724
97,0.5,0.9,0.2,2.0,5.0,1.0,0.18592964824120603,1.0,0.17022149600580977
98,0.5,0.9,0.2,2.0,20.0,0.9286733238231099,0.9949748743718593,0.9287500669658943,0.9949992186279106
99,0.5,0.9,0.2,2.0,40.0,0.9029957203994294,0.9949748743718593,0.9032385826118631,0.9949992186279106
100,0.5,0.9,0.2,3.0,2.0,0.5449358059914408,0.2562814070351759,0.5393163722919094,0.23046218466264273
101,0.5,0.9,0.2,3.0,5.0,0.49072753209700426,0.4020100502512563,0.4948230172576847,0.42160022331512137
102,0.5,0.9,0.2,3.0,20.0,1.0,1.0,1.0,1.0
103,0.5,0.9,0.2,4.0,2.0,0.5449358059914408,0.2562814070351759,0.5393163722919094,0.23046218466264273
104,0.5,0.9,0.2,4.0,5.0,0.48787446504992865,0.8140703517587939,0.488732166399445,0.8150493320698219
105,0.5,0.9,0.5,2.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
106,0.5,0.9,0.5,2.0,20.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
107,0.5,0.9,0.5,2.0,40.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
108,0.5,0.9,0.5,3.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
109,0.5,0.9,0.5,3.0,20.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
110,0.5,0.9,0.5,4.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
111,0.9,0.1,0.01,2.0,5.0,0.4536376604850214,0.4020100502512563,0.45575037442976984,0.4138900227478191
112,0.9,0.1,0.01,2.0,20.0,0.37375178316690444,0.4371859296482412,0.37647699617285224,0.43973726642780353
113,0.9,0.1,0.01,2.0,40.0,0.557774607703281,0.5276381909547738,0.5573923099249389,0.5174218849877387
114,0.9,0.1,0.01,3.0,2.0,0.579172610556348,0.3618090452261306,0.5792993687345097,0.3569973747805073
115,0.9,0.1,0.01,3.0,5.0,0.4964336661911555,0.45226130653266333,0.4953959578849722,0.45036109997988705
116,0.9,0.1,0.01,3.0,20.0,0.4964336661911555,0.45226130653266333,0.49666834923769054,0.44236934711476994
117,0.9,0.1,0.01,4.0,2.0,0.4978601997146933,0.4472361809045226,0.49792676046527823,0.4464876957834704
118,0.9,0.1,0.01,4.0,5.0,0.47788873038516405,0.48743718592964824,0.4760720061805392,0.49537839009975226
119,0.9,0.1,0.01,7.0,2.0,0.6077032810271041,0.4120603015075377,0.6076126673273224,0.40842452568071763
120,0.9,0.1,0.2,2.0,5.0,0.43366619115549215,0.4321608040201005,0.43355991492855733,0.430463388504115
121,0.9,0.1,0.2,2.0,20.0,0.912981455064194,0.8492462311557789,0.8996155242503927,0.8242009877823551
122,0.9,0.1,0.2,2.0,40.0,0.9957203994293866,0.9698492462311558,0.9956299604961394,0.97
123,0.9,0.1,0.2,3.0,2.0,1.0,1.0,1.0,1.0
124,0.9,0.1,0.2,3.0,5.0,0.557774607703281,0.5628140703517588,0.5402879170484952,0.5244173353657663
125,0.9,0.1,0.2,3.0,20.0,1.0,1.0,1.0,1.0
126,0.9,0.1,0.2,4.0,2.0,1.0,1.0,1.0,1.0
127,0.9,0.1,0.2,4.0,5.0,0.46790299572039945,0.6432160804020101,0.46815040441743694,0.6341768459737644
128,0.9,0.1,0.2,7.0,2.0,1.0,0.9949748743718593,1.0,0.9948717948717949
129,0.9,0.1,0.5,2.0,20.0,1.0,1.0,1.0,1.0
130,0.9,0.1,0.5,2.0,40.0,1.0,1.0,1.0,1.0
131,0.9,0.1,0.5,3.0,5.0,1.0,1.0,1.0,1.0
132,0.9,0.1,0.5,3.0,20.0,1.0,1.0,1.0,1.0
133,0.9,0.1,0.5,4.0,5.0,1.0,1.0,1.0,1.0
134,0.9,0.5,0.01,2.0,5.0,0.5663338088445078,0.4221105527638191,0.5654319980760756,0.4199481250114162
135,0.9,0.5,0.01,2.0,20.0,0.514978601997147,0.49246231155778897,0.5137773751660152,0.48759087218686925
136,0.9,0.5,0.01,2.0,40.0,0.49072753209700426,0.47738693467336685,0.4903029416512236,0.4751388512651067
137,0.9,0.5,0.01,3.0,2.0,0.4921540656205421,0.47738693467336685,0.49045004914570134,0.47289439977927933
138,0.9,0.5,0.01,3.0,5.0,0.5221112696148359,0.46733668341708545,0.5222583351911441,0.4718829128516173
139,0.9,0.5,0.01,3.0,20.0,0.4607703281027104,0.3668341708542713,0.4538609766218874,0.36150184289455767
140,0.9,0.5,0.01,4.0,2.0,0.4992867332382311,0.44221105527638194,0.4979755868069512,0.4313865367858031
141,0.9,0.5,0.01,4.0,5.0,0.5406562054208274,0.48743718592964824,0.538084314387252,0.48266059279383733
142,0.9,0.5,0.01,7.0,2.0,0.6148359486447932,0.457286432160804,0.6142379853389048,0.4543724014850775
143,0.9,0.5,0.2,2.0,5.0,0.5663338088445078,0.2562814070351759,0.5664369596076912,0.25586030422805905
144,0.9,0.5,0.2,2.0,20.0,1.0,1.0,1.0,1.0
145,0.9,0.5,0.2,2.0,40.0,1.0,1.0,1.0,1.0
146,0.9,0.5,0.2,3.0,2.0,1.0,1.0,1.0,1.0
147,0.9,0.5,0.2,3.0,5.0,1.0,1.0,1.0,1.0
148,0.9,0.5,0.2,3.0,20.0,1.0,1.0,1.0,1.0
149,0.9,0.5,0.2,4.0,2.0,1.0,1.0,1.0,1.0
150,0.9,0.5,0.2,4.0,5.0,1.0,1.0,1.0,1.0
151,0.9,0.5,0.2,7.0,2.0,0.9757489300998573,0.9346733668341709,0.975256454921999,0.9324675324675324
152,0.9,0.5,0.5,2.0,5.0,0.9457917261055635,1.0,0.9454631434506314,1.0
153,0.9,0.5,0.5,2.0,20.0,1.0,1.0,1.0,1.0
154,0.9,0.5,0.5,2.0,40.0,1.0,1.0,1.0,1.0
155,0.9,0.5,0.5,3.0,5.0,1.0,0.9296482412060302,1.0,0.93
156,0.9,0.5,0.5,3.0,20.0,1.0,1.0,1.0,1.0
157,0.9,0.5,0.5,4.0,5.0,1.0,1.0,1.0,1.0
158,0.9,0.9,0.01,2.0,5.0,0.536376604850214,0.4824120603015075,0.5345660151009736,0.4776129308674969
159,0.9,0.9,0.01,2.0,20.0,0.48074179743223966,0.4623115577889447,0.48060105741093306,0.4606398846253582
160,0.9,0.9,0.01,2.0,40.0,0.5164051355206848,0.4271356783919598,0.5154320088028154,0.42510457744721214
161,0.9,0.9,0.01,3.0,2.0,0.4664764621968616,0.4271356783919598,0.46447484122762733,0.42662922939497594
162,0.9,0.9,0.01,3.0,5.0,0.4664764621968616,0.457286432160804,0.46300655330554824,0.4539302784296552
163,0.9,0.9,0.01,3.0,20.0,0.48787446504992865,0.4221105527638191,0.48863055301977826,0.4215391131648708
164,0.9,0.9,0.01,4.0,2.0,0.4793152639087018,0.4020100502512563,0.47782703815513533,0.3969995399922305
165,0.9,0.9,0.01,4.0,5.0,0.48216833095577744,0.4824120603015075,0.4823644362532692,0.47626435515037546
166,0.9,0.9,0.01,7.0,2.0,0.4593437945791726,0.3768844221105528,0.4481091020556086,0.37614049349343465
167,0.9,0.9,0.2,2.0,5.0,0.6547788873038516,0.6532663316582915,0.6514696672524811,0.6352094973358383
168,0.9,0.9,0.2,2.0,20.0,1.0,0.9547738693467337,1.0,0.9548872180451127
169,0.9,0.9,0.2,2.0,40.0,1.0,1.0,1.0,1.0
170,0.9,0.9,0.2,3.0,2.0,1.0,1.0,1.0,1.0
171,0.9,0.9,0.2,3.0,5.0,0.5706134094151213,0.7336683417085426,0.5644781020084559,0.7291289354724108
172,0.9,0.9,0.2,3.0,20.0,0.4893009985734665,0.7135678391959799,0.48648374875249695,0.6898135177002547
173,0.9,0.9,0.2,4.0,2.0,1.0,0.9849246231155779,1.0,0.9853554704129416
174,0.9,0.9,0.2,4.0,5.0,1.0,0.9949748743718593,1.0,0.9952320136228182
175,0.9,0.9,0.2,7.0,2.0,1.0,1.0,1.0,1.0
176,0.9,0.9,0.5,2.0,5.0,0.9985734664764622,1.0,0.9985714103496217,1.0
177,0.9,0.9,0.5,2.0,20.0,1.0,1.0,1.0,1.0
178,0.9,0.9,0.5,2.0,40.0,1.0,1.0,1.0,1.0
179,0.9,0.9,0.5,3.0,5.0,0.442225392296719,0.32160804020100503,0.45003922003204544,0.30111597584825867
180,0.9,0.9,0.5,3.0,20.0,0.9029957203994294,0.12562814070351758,0.901383384109959,0.1174307575184153
181,0.9,0.9,0.5,4.0,5.0,0.46790299572039945,0.2613065326633166,0.4658135883881118,0.21562168933378287
