,loss,conv,dataset,train acc micro,test acc micro,train acc macro,test acc macro,clf
0,HOPE_RPR,SAGE,Texas,0.945736434108527,0.7777777777777778,0.7467777320718497,0.6782106782106783,MLP
1,HOPE_RPR,SAGE,Wisconsin,0.9943181818181818,0.88,0.985497076023392,0.7771728883861238,MLP
2,HOPE_RPR,SAGE,Texas,1.0,0.7222222222222222,1.0,0.5533730158730159,logreg
3,HOPE_RPR,SAGE,Wisconsin,0.9829545454545454,0.92,0.9736746490503716,0.8224967838765009,logreg
4,HOPE_RPR,GCN,Texas,0.8062015503875969,0.5833333333333334,0.7673192353864623,0.3670454545454545,logreg
5,HOPE_RPR,GCN,Wisconsin,0.6931818181818182,0.56,0.5784307763847406,0.2939753639417693,logreg
6,no,no,Texas,0.9922480620155039,0.75,0.798581560283688,0.6117521367521368,MLP
7,no,no,Wisconsin,0.9829545454545454,0.9,0.9736746490503716,0.8130628216123499,MLP
